"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021016081","3","3","1035","0132","0","B","2","35","CLAY RD","2","3","36"
"2021037980","5","4","","","","E","04","25","EDEN RD","4","","36"
"2021091775","4","3","","","","W","02","20","IRON BRIDGE RD","4","","36"
"2021079936","4","5","","","","E","02","35","PARK ST","4","","36"
"2021082387","4","4","4011","0020","0","N","2","40","FRUITVILLE PK","2","3","36"
"2021027443","4","4","","","","N","02","25","LOWRY RD","4","","36"
"2021044649","4","4","3014","0040","3462","N","2","45","BUCK HEIGHTS RD","2","3","36"
"2021062226","3","3","0462","0190","989","E","3","40","COLUMBIA AV","2","3","36"
"2021061029","3","3","0072","0240","0","N","2","55","LANCASTER RD","2","3","36"
"2021014719","3","3","0462","0320","329","E","4","35","LINCOLN WY","2","3","36"
"2021037981","3","3","0222","0810","2381","N","2","65","","2","1","36"
"2021001526","3","3","7076","0220","528","E","4","65","MAINLINE TU","5","1","36"
"2021092235","4","4","","","","E","02","25","WITMER RD","4","","36"
"2021118565","4","5","8003","0500","692","N","1","35","RAMP L RD","2","1","36"
"2021040572","4","4","","","","W","02","35","YELLOW GOOSE RD","4","","36"
"2021126119","3","3","4042","0021","2498","W","2","45","YORK RD","2","3","36"
"2021023569","4","4","8005","0250","0","W","1","35","RAMP F RD","2","1","36"
"2021123870","3","4","","","","N","02","25","N CHARLOTTE ST","4","","36"
"2021033910","3","3","1047","0110","0","N","2","40","SCHOENECK RD","2","3","36"
"2021124622","4","4","0222","0511","2417","S","2","35","SR 0222 SH","2","3","36"
"2021026631","3","3","0462","0230","1528","E","3","35","COLUMBIA AV","2","3","36"
"2021095038","4","4","","","","W","02","35","STONE QUARRY RD","4","","36"
"2021016733","4","4","","","","E","02","25","ROSS ST","4","","36"
"2021052570","4","4","","","","N","02","35","CHESTNUT ST","4","","36"
"2021010690","3","3","0072","0250","1885","N","2","55","LANCASTER RD","2","3","36"
"2021051753","3","3","3017","0450","1641","N","2","35","CHURCH ST","2","3","36"
"2021017213","3","3","4040","0060","485","E","2","45","DOE RUN RD","2","3","36"
"2021097770","4","3","","","","E","02","40","ORE MINE RD","4","","36"
"2021126388","3","3","","","","S","01","25","FAIRVIEW AV","4","","36"
"2021032823","3","3","0462","0240","1409","E","2","25","COLUMBIA AV","2","3","36"
"2021123089","3","3","1051","0130","132","S","2","40","CHURCH ST","2","3","36"
"2021017428","3","3","","","","E","02","45","EARL RD","4","","36"
"2021009362","4","4","0222","0731","493","S","3","35","OREGON PK","2","3","36"
"2021080606","5","4","","","","S","02","30","SCHOOLHOUSE RD","4","","36"
"2021100631","3","3","0023","0160","0","W","2","45","MARIETTA AV","2","3","36"
"2021016058","3","3","0462","0320","1370","E","4","35","LINCOLN WY","2","3","36"
"2021051876","3","3","0462","0220","996","E","3","35","COLUMBIA AV","2","3","36"
"2021112863","4","4","8025","0250","1383","W","1","35","RAMP D RD","2","1","36"
"2021009316","3","4","","","","S","02","25","HERSHEY AV","4","","36"
"2022004790","3","3","0324","0230","2182","S","2","45","NEW DANVILLE PK","2","3","36"
"2021118563","3","3","4011","0030","1016","N","2","40","FRUITVILLE PK","2","3","36"
"2021100003","4","4","1010","0160","2424","B","2","45","FARMERSVILLE RD","2","3","36"
"2021073200","3","3","0222","0771","1198","S","2","65","","2","1","36"
"2021087396","3","3","0041","0060","0","N","4","45","NEWPORT PK","2","3","36"
"2021076585","3","3","0222","0840","1516","N","2","65","","2","1","36"
"2021102025","3","3","0322","0120","0","E","2","40","28TH DIVISION HW","2","3","36"
"2021039942","3","4","","","","E","02","15","5TH ST","4","","36"
"2021112278","4","3","","","","E","02","25","CHESTNUT ST","4","","36"
"2021056781","3","3","1026","0220","2390","E","2","40","STEINMETZ RD","2","3","36"
"2021089611","4","4","","","","E","02","25","NEW ST","4","","36"
"2021046196","3","3","0030","0470","2300","E","3","35","LINCOLN HW","2","3","36"
"2021095032","4","4","","","","N","02","25","LAKE ST","4","","36"
"2021041898","3","3","0030","0260","465","E","3","55","LINCOLN HW","2","1","36"
"2021103615","5","5","1002","0092","2508","N","2","25","RIVERSIDE AV","2","3","36"
"2021038102","3","3","","","","E","02","35","LITITZ RUN RD","4","","36"
"2021111301","4","4","0462","0270","1232","E","2","25","KING ST","2","3","36"
"2021036519","4","4","","","","N","02","35","SIMMONTOWN RD","4","","36"
"2021059428","3","3","4020","0120","3208","E","2","40","HARRISBURG PK","2","3","36"
"2021024123","4","4","","","","N","02","25","STATE ST","4","","36"
"2021062824","3","4","","","","S","03","35","STRICKLER RD","4","","36"
"2021029064","3","4","","","","W","02","25","UNION ST","4","","36"
"2021085203","3","3","0462","0260","612","E","2","25","KING ST","2","3","36"
"2021054502","4","4","","","","S","02","40","LONG LN","4","","36"
"2021105677","3","3","0501","0010","1929","N","2","35","LITITZ PK","2","3","36"
"2021125552","3","3","","","","N","02","25","2ND ST","4","","36"
"2021009837","6","6","4042","0031","0","W","02","45","CHESTER RD","2","3","36"
"2021094284","4","4","","","","N","02","25","HICKORY LN","4","","36"
"2021045035","4","4","4023","0010","0","B","2","40","OBERHOLTZER RD","2","3","36"
"2021103560","4","3","","","","N","02","25","N STATE ST","4","","36"
"2021017211","5","5","8015","","","S","01","","TO 8015/0250 RD","2","","36"
"2021089958","3","3","","","","N","02","25","DUKE ST","4","","36"
"2021047307","3","3","0023","0510","0","E","2","35","MAIN ST","2","3","36"
"2021102663","3","3","0072","0120","989","N","3","35","MANHEIM PK","2","3","36"
"2021033983","3","3","0023","0550","3071","E","2","35","MAIN ST","2","3","36"
"2021102419","4","3","","","","N","01","25","GREEN ST","4","","36"
"2021116935","3","3","0030","0201","1189","W","3","55","LINCOLN HW","2","1","36"
"2021095919","4","4","0023","0303","215","W","2","40","NEW HOLLAND PK","2","3","36"
"2021104747","4","4","","","","N","02","25","(TBK SR 0741) LEMON ST","4","","36"
"2022000295","3","4","","","","W","02","25","UNION ST","4","","36"
