"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021095053,"","9","3155 DEVELOPMENT WAY","","SELLERSBURG","IN","47172","REPUBLIC TRUCK SALES","6108231672","","","","","","N","","","","","","N","0","1","01501871","08"
2021098505,"99","99","2851 OLD TREE DR","","LANCASTER","PA","17603","U GO BOY DBA KEGEL'S PRODUCE","9999999999","026000","","","","","N","","","","","","","","1","","99"
2021012677,"03","4","7182 WHITE OAK RD","","CHRISTIANA","PA","17509","SADSBURY TOWNSHIP","6105936796","041000","","","","","N","","","","","","N","","1","","04"
2021070114,"05","1","4799 WEST PLEASANT HOME RD","","BURBANK","OH","44214","KDRX LLC","3304651885","080000","","","","","N","","","","","","N","","1","01887811","08"
2021071464,"05","1","1156 BIBBS ROAD","","VOORHEES","NJ","08043","JOT TRANSPORT LLC","8565349914","080000","","","","","N","","","","","","N","","2","03502444","08"
2021102186,"99","9","3454 LINCOLN HWY E","","PARADISE","PA","17562","CARIBBEAN TRANSPORT","7174424362","999999","","","","","N","","","","","","","","1","01867957","99"
2021114575,"02","1","11690 NW 105TH ST","","MIAMI","FL","33178","RYDER TRUCK RENTAL LT","7175616022","025999","","","","","N","","","","","","","","2","01489902","03"
2021010478,"05","1","1665 JANIS DR","","MEMPHIS","TN","38116-6727","SOKO LOGISTICS INC","9012440855","080000","","","","","N","","","","","","N","","1","03133613","08"
2021041211,"04","4","116 QUEEN LANE","","LANDENBERG","PA","19350","SAM COX TRUCKING","6104961661","073280","","","","","N","","","","","","N","","1","00919045","04"
2021053500,"99","3","817 W. MAIN ST.","","BROWNSVILLE","WI","53006","MICHELS CORPORATION","9205393481","080000","","","","","N","","","","","","N","","2","00099905","08"
2021074544,"99","0","275 BETHESDA CHURCH RD W","","HOLTWOOD","PA","17532","WEABER BROS INC","9999999999","014000","","","","","N","","","","","","U","","2","","02"
