"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","51","N","2019029833","3","1","","2","00","Y","FORD","2011","02","1","","1","00","N","999","0","","1","01","03","01","01","PA","0","04","1FT8W3D64BE","TCW"
"","15","N","2019027628","3","1","","3","12","Y","CHEV","2013","01","1","","1","00","N","040","0","","1","01","07","01","01","PA","1","06","2GNFLGE38D6","T4W"
"","04","N","2019028750","3","1","","1","01","Y","TOYT","2003","01","2","","1","00","E","015","0","","2","01","12","01","05","PA","1","01","1NXBR32E53Z","P4D"
"","51","N","2019026590","3","1","","1","12","Y","FORD","2005","01","1","","1","00","W","045","0","","1","01","01","01","01","PA","1","04","1FTPW14505K","TCW"
"","69","N","2019030015","1","1","","3","11","Y","JEEP","2000","01","1","","1","00","W","999","0","","2","01","05","01","01","PA","1","01","1J4FF48S6YL","T"
"","28","N","2019030116","2","1","","1","12","Y","TRUM","2006","01","1","","1","00","N","035","0","","2","01","05","01","01","PA","3","02","SMT500PK56J","MRC"
"","40","N","2019026783","1","2","","1","06","Y","TOYT","2013","","0","","1","00","W","000","0","","3","02","03","06","12","PA","2","01","5TDDK3DC9DS","TSV"
"","04","N","2019026822","1","1","","1","08","Y","INFI","2007","01","1","","1","00","W","005","0","","1","01","05","12","01","PA","2","01","JNKAY01F17M","P4D"
"","40","N","2019028051","3","1","","3","01","Y","FORD","1995","02","1","","1","00","S","999","0","","1","01","02","01","13","PA","1","07","1FBHE31H6SH","TSV"
"","04","N","2019030469","3","1","","3","12","Y","SUZI","2009","02","1","","1","00","N","015","0","","2","01","01","01","01","PA","2","01","JS2YC412X96","P4D"
"","04","N","2019028168","3","1","","1","11","Y","TOYT","2007","01","1","","1","00","W","005","0","","1","01","07","01","01","PA","2","01","4T1BE46K37U","P4D"
"","15","N","2019049806","3","1","","1","05","Y","HOND","2015","01","1","","1","00","E","010","0","","1","01","03","12","04","PA","2","06","5FNYF4H74FB","T4W"
"","04","N","2019051947","3","3","","1","11","Y","HOND","1998","02","3","","1","00","S","055","0","","1","01","04","01","06","PA","1","01","2HGEJ657XWH","P4D"
"","51","N","2019050790","3","1","","1","11","Y","GMC","1999","01","1","","1","00","N","050","0","","2","01","02","01","01","PA","1","04","2GTEC19T8X1","T3C"
"","04","N","2019049933","3","2","","1","08","Y","HYUN","2014","","0","","1","00","","000","0","","2","02","05","06","01","PA","2","01","5NPEC4AC6EH","P4D"
"","69","N","2019051874","2","1","","1","06","Y","JEEP","2019","01","1","","1","00","W","005","0","","2","01","01","02","02","PA","2","01","1C4PJMDXXKD","T"
"","04","N","2019050019","2","1","","1","12","Y","BUIC","2004","01","1","","1","00","W","999","0","","1","01","99","04","01","PA","1","01","1G4HP52K544","P4D"
"","05","N","2019051101","3","1","","1","11","Y","SCIO","2004","02","2","","4","00","E","999","0","","2","01","11","16","01","PA","1","01","JTKKT624940","P4H"
"","04","N","2019049416","1","1","","1","06","Y","TOYT","2005","02","1","","1","00","S","000","0","","2","01","02","03","01","PA","2","01","4T1BE30K05U","P4D"
"","15","N","2019049424","3","1","","1","10","Y","FORD","2012","02","1","","1","00","E","040","0","","1","01","05","01","01","PA","3","06","2FMDK4JC8CB","T4W"
"","06","N","2019050414","2","1","","1","06","Y","SUBA","2013","01","1","","1","00","N","000","0","","2","01","05","03","01","PA","2","06","JF1GPAL63D2","PSW"
"","15","N","2019049582","2","1","","1","05","Y","BUIC","2013","01","1","","1","00","N","999","0","","2","01","12","01","01","PA","2","06","KL4CJESB6DB","T4W"
"","05","N","2019049651","1","2","","1","11","Y","HYUN","2017","","0","","1","00","W","000","0","","6","02","10","06","98","PA","2","01","KMHCT5AE8HU","P4H"
"","04","N","2019048119","3","1","","3","06","Y","CHEV","2002","01","2","","1","00","E","040","0","","1","01","08","01","01","PA","1","01","2G1WF52E029","P4D"
"","51","N","2019044232","3","1","","1","04","Y","CHEV","2016","01","1","","1","00","W","035","1","","1","01","02","01","01","PA","2","04","1GCVKREC7GZ","T4C"
"","15","N","2019047226","1","1","","2","06","Y","ACUR","2001","01","1","","1","00","S","005","0","","2","01","05","03","01","PA","2","06","2HNYD18201H","T4W"
"","04","N","2019045263","3","1","","1","12","Y","TOYT","2003","02","1","","3","00","S","999","0","","1","01","02","17","01","PA","1","01","JTDBT123535","P4D"
"","04","N","2019045274","3","1","","1","04","Y","TOYT","2002","02","1","","1","00","S","005","0","","1","01","12","12","07","PA","2","01","4T1BF32KX2U","P4D"
"","04","N","2019046473","3","1","","2","11","Y","TOYT","2012","01","1","","1","00","E","020","0","","1","01","12","01","03","PA","1","01","2T1BU4EE3CC","P4D"
"","02","N","2019045544","3","1","","1","12","Y","HOND","2004","01","1","","1","00","S","020","0","","1","01","07","01","01","PA","1","01","1HGEM21594L","PCP"
"","04","N","2019046639","3","1","","1","12","Y","TOYT","2002","01","1","","1","00","N","999","0","","1","01","04","01","03","PA","1","01","4T1BE30K52U","P4D"
"","15","N","2019044788","3","1","","1","12","Y","FORD","2009","01","1","","4","00","S","005","0","","1","01","03","16","01","PA","1","06","1FMCU03739K","T4W"
"","04","N","2019046809","3","3","","1","02","Y","NISS","2002","01","1","","3","00","E","035","0","","1","01","07","17","09","PA","1","01","1N4BL11E62C","P4D"
"","04","N","2019044958","3","1","","1","02","Y","FORD","2013","98","1","","1","00","W","040","0","","1","01","02","15","03","SC","1","01","1FAHP2KT5DG","P4D"
"","04","N","2019001724","3","1","","1","12","Y","FORD","2010","02","1","","1","00","W","015","0","","2","01","03","01","01","PA","2","01","1FAHP3FN8AW","P4D"
"","04","N","2019004774","3","1","","3","01","Y","TOYT","2013","01","1","","1","00","N","030","0","","1","01","03","15","01","PA","1","01","2T1BU4EE3DC","P4D"
"","","N","2019004789","","","","","","","","","00","1","","","","","","","","3","31","","","","","2","","",""
"","","","2019005062","","","","","","","","","","1","","","","","","","","2","32","","","","","2","","",""
"","04","N","2019004227","3","1","","4","02","Y","FORD","2008","01","2","","1","00","E","999","0","","1","01","07","12","07","PA","2","01","1FAHP35N78W","P4D"
"","69","Y","2019004353","1","1","","2","06","Y","INTL","2018","02","1","","1","21","W","999","1","","2","01","03","01","06","ON","2","05","3HSDZTZR6JN","T"
"","15","N","2019003256","3","1","","5","11","Y","CHEV","2017","01","1","","1","00","W","999","0","","1","01","01","01","01","PA","1","01","2GNFLEEK8H6","T4W"
"","51","N","2019017253","3","1","","1","11","Y","DODG","2010","01","1","","1","00","E","020","0","","1","01","05","12","03","PA","1","04","1D7CW3GK3AS","TCW"
"","04","N","2019017488","1","1","","3","01","Y","HOND","1999","01","1","","3","00","S","999","0","","1","01","04","17","09","PA","1","01","2HGEJ6674XH","P4D"
"","15","N","2019003858","3","1","","1","11","Y","MAZD","2012","01","1","","1","00","N","010","0","","2","01","03","12","04","PA","2","06","JM3TB3CV6C0","T4W"
"","40","N","2019003858","3","1","","1","12","Y","HOND","2016","01","1","","1","00","S","030","0","","1","01","01","01","01","PA","1","07","5FNRL5H64GB","TSV"
"","04","N","2019002814","3","1","","1","12","Y","HYUN","2006","01","2","","1","00","N","999","0","","2","01","04","01","01","PA","2","01","5NPEU46F16H","P4D"
"","05","N","2019015872","3","1","","1","01","Y","VOLK","2015","01","2","","3","00","E","040","0","","1","01","03","17","01","PA","1","01","3VW217AUXFM","P4H"
"","69","N","2019015976","3","2","","1","02","Y","MITS","2019","","0","","1","00","E","000","0","","2","02","01","06","01","PA","3","01","","T"
"","51","N","2019014037","3","1","","1","07","Y","FORD","2004","02","1","","1","00","E","065","","","1","01","05","01","03","PA","2","04","1FTRX14W94N","T4C"
"","09","N","2019015095","3","1","","1","11","Y","FORD","2019","02","2","","1","00","E","055","0","","1","01","03","01","03","PA","1","01","3FADP4BJ2KM","P"
"","04","N","2019013136","3","1","","3","12","Y","DODG","2013","01","1","","3","00","N","045","0","","1","01","02","17","01","PA","1","01","1C3CDFBH9DD","P4D"
"","73","Y","2019014250","1","1","","1","02","Y","MACK","2001","98","1","","1","00","W","015","0","","1","01","12","12","04","PA","2","05","1M2K185C11M","TTB"
"","04","N","2019013315","2","1","","3","12","Y","TOYT","2012","01","1","","1","00","N","015","0","","1","01","05","01","01","PA","1","01","2T1BU4EE0CC","P4D"
"","04","N","2019015314","2","1","","1","06","Y","CHEV","2013","02","1","","1","13","E","000","0","","2","01","06","03","01","PA","2","01","2G1WG5E3XD1","P4D"
"","04","N","2019015429","3","1","","3","03","Y","VOLK","2003","01","1","","3","00","N","045","0","","1","01","12","17","01","PA","1","01","3VWRK69MX3M","P4D"
"","04","N","2019013508","2","1","","2","06","Y","CADI","2011","02","1","","2","00","S","999","0","","2","01","12","02","01","PA","2","01","1G6DG5EY5B0","P4D"
"","04","N","2019015479","3","1","","1","12","Y","FORD","2013","01","1","","1","00","W","999","0","","2","01","05","01","01","PA","1","01","1FADP3F2XDL","P4D"
"","69","Y","2019015564","1","1","","2","10","Y","VOLV","2018","02","1","","1","00","E","035","1","","3","01","03","01","01","IL","2","05","4V4NC9EH2JN","T"
"","15","N","2019016519","3","1","","1","01","Y","MAZD","2002","01","1","","1","00","N","045","","","1","01","08","01","01","PA","1","06","4F2YU08172K","T4W"
"","06","N","2019015653","3","1","","9","08","Y","SUBA","1996","01","2","","1","00","W","010","0","","2","01","01","12","04","PA","2","01","JF1GF4859TG","PSW"
"","69","N","2019014699","1","2","","1","06","Y","JEEP","2017","","0","","2","00","","000","0","","3","02","05","06","09","PA","2","06","ZACCJBDB8HP","T"
"","15","N","2019015857","3","1","","1","12","Y","GMC","2004","01","1","","1","00","S","020","0","","1","01","01","01","01","PA","1","04","1GKDT13S142","T4W"
"","40","N","2019016794","3","1","","1","12","Y","HOND","2016","01","1","","1","00","S","020","","","2","01","11","01","01","PA","2","07","5FNRL5H35GB","TSV"
"","04","N","2019026125","3","1","","1","04","Y","TOYT","2002","01","1","","1","00","N","999","0","","1","01","07","12","04","PA","2","01","JTDBF30K020","P4D"
"","04","N","2019022816","3","1","","1","03","Y","BUIC","2013","01","1","","1","00","E","015","0","","1","01","12","12","04","PA","2","01","1G4PP5SK6D4","P4D"
"","04","N","2019022904","2","1","","1","01","Y","ACUR","2009","01","1","","2","00","S","010","0","","1","01","05","15","04","PA","1","01","19UUA96269A","P4D"
"","51","N","2019024070","3","1","","3","12","Y","FORD","2002","02","1","","4","00","N","060","0","","2","01","04","16","01","PA","1","04","1FTRF17W62N","TPK"
"","04","N","2019024126","3","1","","3","12","Y","HOND","2013","02","1","","1","00","N","035","0","","1","01","12","01","06","PA","1","01","2HGFB2F55DH","P4D"
"","04","N","2019021913","1","1","","1","12","Y","CHEV","2007","01","1","","1","00","W","999","0","","3","01","12","01","03","PA","1","01","2G1WT58K179","P4D"
"","04","N","2019022050","3","1","","3","01","Y","MAZD","2014","01","3","","1","00","E","999","1","","1","01","07","01","01","PA","1","01","JM1GJ1V68E1","P4D"
"0","05","N","2019023253","3","1","0","5","12","Y","MAZD","2005","01","1","12","1","00","N","999","0","0","2","01","05","01","01","PA","2","01","JM1BK343951","P4H"
"","04","N","2019023341","3","1","","3","02","Y","HYUN","2001","01","1","","1","00","E","020","0","","1","01","04","01","01","PA","1","01","KMHDN45D61U","P4D"
"","15","N","2019023355","3","1","","1","11","Y","TOYT","2015","01","1","","4","00","W","030","0","","1","01","07","16","01","PA","1","06","5TDJKRFH6FS","T4W"
"","15","N","2019024549","1","1","","1","06","Y","VOLV","2015","01","1","","1","00","S","000","0","","2","01","05","03","01","PA","2","01","YV4902RK8F2","T4W"
"","69","Y","2019024598","3","1","","1","14","Y","PTRB","2018","01","2","","4","21","E","045","1","","2","01","12","16","01","MA","1","05","1NPXLP9XXJD","T"
"","04","N","2019024631","3","1","","1","12","Y","HOND","2016","01","2","","1","00","S","999","0","","1","01","05","01","09","DE","1","01","2HGFC2F72GH","P4D"
"","15","N","2019023658","3","1","","1","02","Y","FORD","2004","01","1","","4","00","N","025","0","","1","01","07","16","01","PA","1","04","1FMZU77K64U","T4W"
"","04","N","2019024834","1","1","","1","02","Y","MITS","2009","01","1","","1","00","W","999","0","","1","01","07","12","01","PA","1","01","JA3AU86WX9U","P4D"
