"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2019031221,50,"00","","","",""," ","0","0","0","0","0","  "," ",3,"1","03","01","F","N",3,"","","","","PA"
2019099487,57,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019047536,21,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","Y",1,"","","","","MI"
2019107818,27,"99","","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","MD"
2019072727,56,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2019043500,44,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"000","","","","PA"
2019015424,23,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019129995,22,"05","97","","",""," ","0","0","0","0","3","  "," ",2,"1","05","01","M","Y",2,"","","","","PA"
2019073085,58,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019056709,53,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2019135040,18,"08","02","","",""," ","0","0","0","1","0","  "," ",1,"1","99","01","M","N",1,"000","","","","PA"
2019092113,83,"08","M","","",""," ","0","0","0","0","0","  "," ",3,"1","03","01","M","N",3,"","","","","PA"
2019089361,53,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019097213,48,"00","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019100126,54,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019021516,24,"08","M","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2019026341,47,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019111783,10,"00","","","",""," ","0","1","0","1","3","  "," ",4,"2","03","04","M","N",2,"","","","","PA"
2019025883,25,"08","02","","",""," ","0","1","0","1","8","  "," ",2,"1","03","01","M","Y",2,"","","","","PA"
2019063847,61,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2019070543,18,"08","M","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","M","Y",1,"000","","","","PA"
2019053881,46,"08","M","","",""," ","1","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2019093868,18,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019008156,87,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",4,"","","","","PA"
2019052932,27,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M"," ",1,"","","","","PA"
2019020567,49,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019099131,29,"00","","","",""," ","0","0","0","0","3","  "," ",2,"2","00","03","M","N",2,"","","","","PA"
2019073810,52,"99","","","",""," ","0","1","0","1","0","  "," ",1,"1","99","01","F","N",1,"","","","","PA"
2019125821,20,"00","00","00","00","00","9","0","0","0","0","8","05","3",1,"7","00","00","M","N",2,"","","","","  "
2019044956,51,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019109045,40,"00","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2019097942,42,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019034777,37,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019078863,27,"19","","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2019008489,24,"08","02","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M"," ",1,"","","","","PA"
2019058183,23,"09","","","",""," ","0","0","0","0","3","  "," ",2,"2","03","03","F","Y",2,"","","","","PA"
2019057545,31,"08","02","","",""," ","0","1","0","1","8","  "," ",2,"2","00","03","F","Y",1,"","","","","PA"
2019059595,63,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","NY"
2019118403,79,"08","02","","",""," ","9","0","0","0","8","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2019019491,34,"00","","","",""," ","0","0","0","0","3","  "," ",1,"1","05","01","M","R",1,"","","","","PA"
2019121065,26,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019094298,65,"08","M","","",""," ","0","1","0","1","4","  "," ",3,"2","03","03","F","N",2,"","","","","PA"
2019056100,58,"08","M","","",""," ","1","1","0","1","0","  "," ",2,"2","03","03","F","R",1,"","","","","PA"
2019041475,54,"05","","","",""," ","0","0","0","0","3","  "," ",2,"1","05","01","M","Y",2,"000","","","","PA"
2019065182,39,"99","","","",""," ","0","1","0","0","0","  "," ",2,"1","99","01","M","N",2,"","","","","PA"
2019006135,36,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019090710,52,"09","","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2019076743,17,"00","","","",""," ","0","0","0","0","0","  "," ",3,"2","99","99","F","N",1,"","","","","PA"
2019113590,19,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M","N",1,"","","","","PA"
2019009646,55,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2019055228,73,"00","","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019064530,12,"99","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2020000830,18,"09","00","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","M","N",3,"","","","","PA"
2019019758,43,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","R",2,"","","","","PA"
2019123411,18,"00","","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019131479,70,"08","01","02","",""," ","0","1","0","0","0","  "," ",2,"2","01","03","F","N",1,"","","","","PA"
2019132185,40,"08","02","03","",""," ","0","0","0","2","9","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2019107170,84,"09","","","",""," ","0","0","0","0","0","  "," ",3,"2","03","03","F","N",2,"","","","","PA"
2019081985,59,"08","M","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","NJ"
2020000411,44,"08","01","02","",""," ","9","9","9","9","9","  "," ",1,"9","03","99","F","N",1,"","","","","PA"
2019014293,19,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","F","R",1,"","","","","PA"
2019037783,66,"08","02","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","F","N",2,"","","","","PA"
2019073393,82,"08","M","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019110073,49,"00","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019061233,57,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2019132193,47,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F"," ",1,"","","","","PA"
2019105363,42,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019025053,59,"08","02","","",""," ","0","0","0","0","8","  "," ",1,"1","01","01","F","Y",2,"000","","","","PA"
2019036338,70,"08","M","","",""," ","3","1","0","2","3","  "," ",1,"1","03","01","M","Y",1,"001","","","","PA"
2019089497,38,"08","M","","",""," ","0","1","0","1","3","  "," ",6,"1","03","01","M","Y",2,"000","","","","PA"
2019021222,25,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019133150,75,"00","97","","",""," ","0","1","0","1","0","  "," ",5,"2","03","06","M","N",2,"","","","","PA"
2019090688,60,"00","","","",""," ","0","1","0","1","3","  "," ",2,"1","01","01","M","N",2,"000","","","","PA"
2019110348,16,"09","00","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","R",1,"","","","","PA"
2019084862,22,"09","","","",""," ","0","0","0","0","4","  "," ",3,"2","03","03","F","Y",2,"","","","","MD"
2019080417,10,"00","","","",""," ","0","1","0","0","0","  "," ",3,"2","03","06","M","N",1,"","","","","PA"
2019116905,32,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","03","03","M","N",2,"","","","","PA"
2019060614,52,"08","M","","",""," ","0","1","0","1","0","  "," ",5,"1","03","01","F","N",4,"","","","","PA"
2019083348,20,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019006417,35,"08","M","","",""," ","4","1","0","1","3","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2019120034,60,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M"," ",3,"","","","","PA"
2019117166,60,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019033804,24,"00","","","",""," ","0","1","0","3","0","  "," ",1,"1","03","01","M","N",1,"000","","","","PA"
2019089019,15,"08","M","","",""," ","0","1","0","1","3","  "," ",2,"2","03","03","M","Y",1,"","","","","PA"
2019078317,58,"00","","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019087245,69,"08","M","","",""," ","0","0","0","0","4","  "," ",3,"1","03","01","M","N",2,"","","","","NJ"
2019016780,99,"99","","","",""," ","9","0","0","0","0","  "," ",1,"1","99","01","U","N",1,"","","","","ZZ"
2019116490,59,"19","","","",""," ","0","1","0","3","0","  "," ",2,"1","03","01","M","N",2,"000","","","","PA"
2019048869,31,"00","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2019082410,25,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019122230,67,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","01","01","F","N",2,"000","","","","PA"
2019051831,21,"08","02","","",""," ","","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2019085957,50,"00","","","",""," ","0","1","0","1","3","  "," ",2,"1","03","01","M","Y",2,"","","","","PA"
2019016226,2,"99","","","",""," ","0","0","0","0","0","  "," ",2,"2","22","06","F","N",1,"","","","","PA"
2019049510,25,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2019071878,18,"08","02","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",4,"","","","","PA"
2019037778,32,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2019028777,11,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2019094652,35,"09","","","",""," ","0","1","0","1","0","  "," ",4,"2","01","04","M","N",2,"","","","","PA"
2019046620,28,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2019063810,19,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2019054182,52,"08","M","","",""," ","0","1","0","1","4","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019100206,40,"00","","","",""," ","1","0","0","0","0","  "," ",2,"2","00","04","F","N",1,"","","","","PA"
2019049646,27,"09","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
