"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016070409,"03","1","22077 MOUNT RD","","WARREN","MI","48089","RAYS TRANSPORT","5865104333","999999","","","","","N","","","","","","N","","2","02310668","08"
2016074213,"03","9","16871 CANDY AVE","PO BOX 8","FARIBAULT","MN","55021","INTERSTATE IMPROVEMENT INC","5073332677","999999","","","","","N","","","","","","N","","2","00562144","04"
2016085831,"02","1","4000 CLINE AVE","","EAST CHICAGO","IN","463120534","PENSKE TRUCK LEASING","4194787400","025999","","","","","N","","","","","","N","","1","01379054","03"
2016090089,"05","1","979 KIRKWOOD PIKE","","QUARRYVILLE","PA","17566","EDGAR M HERR INC","7177867600","080000","","","","","N","","","","","","N","","2","00174538","08"
2016097382,"05","1","104 UPSHUR LANE","","BERLIN","MD","21811","JOHN WEBB","4104309890","080000","","","","","N","","","","","","N","","2","","08"
2016103180,"99","9","82 W MAIN ST","","REINHOLDS","PA","17569","SERVICE PROFESSIONALS LLC","9999999999","012000","","","","","N","","","","","","U","","1","","05"
2016108180,"05","7","2475 CLOVERLEAF ROAD","","ELIZABETHTOWN","PA","17022","DOHNER TRUCKING","7172782652","080000","","","","","N","","","","","","N","","1","00199117","08"
2016108936,"03","3","102 EAST MAIN ST","","ALHAMBRA","IL","62001","GREENTREE TRANSPORT","7172785888","080000","","","","","N","","","","","","N","A-00105059","1","00204961","08"
2016110651,"04","2","85 WHITE OAK ROAD PO BO","","MANHEIM","PA","17545","WORLEY & OBETZ","7176656891","080000","2","","","","Y","1","","","","","N","","2","00286385","06"
2016115915,"04","1","60 E MAIN ST PO BOX 546","","LEOLA","PA","17540","DTX INC","7176562236","","","","","","N","","","","","","N","","2","00217295","08"
2016117460,"04","4","PO BOX 147","","DENVER","PA","17517","REAMSTOWN EXCAVATING INC.","7173363925","073280","","","","","N","","","","","","N","","2","02136810","04"
2016121011,"04","2","1250 LINCOLN ROAD","","LITITZ","PA","17543","MIDDLECREEK TRANSPORT","7176721154","073280","","","","","N","","","","","","N","","2","00716044","05"
2016133863,"05","9","P.O. BOX 567","","LEOLA","PA","17540","H.M. STAUFFER AND SONS, INC","7175988968","080000","","","","","N","","","","","","N","","2","00225596","08"
2016136610,"03","7","P.O. BOX 380","230 OBIE ROAD","SCHAEFFERSTWN","PA","17088","LEBANON VALLEY FARMS DISPOSAL","8005335356","053220","","","","","N","","","","","","U","","2","02098040","04"
2016139154,"05","1","1020 ALVIRA ROAD","","ALLENWOOD","PA","17810","BRENT MILLER TRUCKING","5704126332","080000","","","","","N","","","","","","N","","2","00772015","08"
2017000522,"02","0","950 SMILE WAY","","YORK","PA","17404","STEWART AND TATE INC.","7173090099","","","","","","N","","","","","","N","","1","00448571","02"
2017000522,"03","0","99 BALDWIN STREET","SECOND FLOOR","NEW BRUNSWICK","NJ","089012609","RRJ TRUCKING CORP.","7236409405","","","","","","N","","","","","","N","","2","01200238","08"
2016003215,"03","3","33 GLENOLA DR","","LEOLA","PA","17540","HM STAUFFER & SONS","7176616241","080000","","","","","N","","","","","","N","","2","00225596","08"
2016004931,"05","9","130 A SATTERLEE ROAD","","DU BOIS","PA","15801","STAAR TRUCKING LLC","8146122077","080000","","","","","N","","","","","","N","","1","02266657","08"
2016004931,"05","9","6943 DIVISION HWY","","NARVON","PA","17555","BEARTOWN RECYCLING","7173547734","080000","","","","","N","","","","","","N","","2","01893769","08"
2016005971,"03","9","PO BOX 662","4729 LAKE RD. WILLIAMSON NY","ONTARIO","NY","14519","SCOTT LUKE","5853296321","080000","","","","","N","","","","","","N","","2","00398292","08"
2016008330,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","2","","08"
2016019182,"05","1","11 ABRASO ST","","LANCASTER","PA","17601","SARAHS MOTOR EXPRESS","7172959730","080000","","","","","N","","","","","","N","","1","00718130","08"
2016020595,"99","9","2000 VINE ST","","MIDDLETOWN","PA","17057","RYDBOM EXPRESS INC","9999999999","025500","","","","","N","","","","","","U","","1","","05"
2016023892,"05","9","16600 S DIXIE HIGHWAY","","MARKHAM","IL","60803","EAGLE SYSTEMS","7172329040","008000","","","","","N","","","","","","N","","1","00314990","08"
2016024228,"05","3","1853 WILLIAM PENN WAY","PO BOX 1008","LANCASTER","PA","176050008","HIGH TRANSIT LLC","7173994108","033000","","","","","N","","","","","","N","A-00123535","1","01664837","08"
2016024484,"05","1","434 PRIMOS AVE","","FOLCROFT","PA","19032","M GERACE ENTERPRISES INC","6108095333","080000","","","","","N","","","","","","N","","2","00959283","08"
2016034974,"04","3","1103 E PRINCESS ST","","YORK","PA","17403","KINSLEY CONSTRUCTION","4074846907","035000","","","","","N","","","","","","N","","1","00207244","00"
2016035492,"99","9","1812 SNYDER CORNER RD","","WINDSOR","PA","17366","ADOMIS INDUSTRIAL MACHINERY LTD","9999999999","025500","","","","","N","","","","","","U","","1","","05"
2016039295,"05","3","1747 STATE ROUTE 848","","NEW MILFORD","PA","18834","M. GRIEMSMANN TRUCKING","5702622114","050000","","","","","N","","","","","","N","","2","00369366","08"
2016049941,"05","1","2740 N. MAYFAIR","","SPRINGFIELD","MO","65803","NEW PRIME INC","4178660001","080000","","","","","N","","","","","","N","","2","00003706","08"
2016050589,"03","1","14949 ST. RT. 28W","","ALEXANDRIA","IN","46001","R & L TRANSFER INC.","8005435589","080000","","","","","N","","","","","","N","","1","00063391","08"
2016051717,"99","9","1650 STEEL WAY","","MOUNT JOY","PA","17552","GREINER INDUSTRIES","9999999999","016500","","","","","N","","","","","","U","","1","","05"
2016052585,"99","9","1195 IVY DRIVE","","LANCASTER","PA","17601","FREY LUTZ CORP","9999999999","026000","","","","","N","","","","","","U","","2","","05"
2016054593,"03","2","728 RETTEW MILL RD","","LITITZ","PA","17543","NOLTS SERVICE LLC","7177381066","073000","","","","","N","","","","","","N","","1","02097959","04"
2016055520,"07","1","1800 E OLD LINCOLN HWY","","LANGHORN","PA","19047","MAWSON&MAWSON","2157500880","080000","","","","","N","","","","","","N","","1","00113529","08"
2016059241,"03","2","16871 CANBY AVENUE","","ROSLYN","MN","55021","INTERSTATE IMPROVEMENT INC","5073332677","080000","","","","","N","","","","","","N","","1","00562144","08"
2016073716,"03","2","543 LEASUREVILLE ROAD","","CABOT","PA","16023","CORY R FOX INC","7248595783","018186","","","","","N","","","","","","N","","1","00008000","06"
2016076325,"04","5","70 LITITZ ROAD","","LITITZ","PA","17543","RQ CARRIERS INC","7176269760","073280","","","","","N","","","","","","U","A-8916121","2","02450577","04"
2016077694,"99","9","810 S 12TH ST","","LEBANON","PA","17042","US RETAIL FLOWERS INC","9999999999","025950","","","","","N","","","","","","U","","1","","05"
2016079253,"05","9","150 VILLAGE COURT","","CAROL STREAM","IL","60188","BLACK HORSE CARRIERS INC.","6306908900","080000","","","","","N","","","","","","N","","2","00807505","08"
2016090659,"04","4","428 WOLEBER RD.","","MYERSTOWN","PA","17067","PAUL A DONAHUE TRUCKING LLC","7179491021","073280","","","","","N","","","","","","N","","2","00125266","04"
2016101393,"03","1","1000 FED EX DR","","CORAPOLIS","PA","15108","FEDEX GROUND PACKAGE SYSTEM INC","4122691000","080000","","","","","N","","","","","","N","","1","00265752","08"
2016101393,"03","1","1000 FED EX DR","","CORAPOLIS","PA","15108","FEDEX GROUND PACKAGE SYSTEM INC","4122691000","080000","","","","","N","","","","","","N","","2","00265752","08"
2016101411,"05","1","3891 MINK ST","","JOHNSTOWN","OH","43031","HEIMERL FARMS","7409670063","080000","","","","","N","","","","","","N","","2","00763645","08"
2016103222,"03","4","PO BOX 153","","NOTTINGHAM","PA","19362","BOB DOLINGER HAULING INC.","7175296792","073280","","","","","N","","","","","","U","","1","02113750","04"
2016103222,"05","3","22-7370 BRAMALEA RD","","MISSISSAUGA","ON","L5S1N6","PEACE TRANSPORTATION","9054051002","080000","","","","","N","","","","","","U","","2","01936756","08"
2016103222,"05","3","930 OLD ROUT 53","PO BOX 187","KYLERTOWN","PA","16847","EARTHMOVERS EQUIPMENT CO.","7045791377","080000","","","","","N","","","","","","U","","3","00027419","08"
